pullSeqNo,producedFrameNumber,pullAtNs,latencyNs
1,0,27721632069583,3287042
2,1,27721655478458,9043125
3,2,27721663933416,2148208
4,3,27721680475000,2120875
5,4,27721697175250,2639084
6,5,27721714066916,2698250
7,6,27721730565833,2732333
8,7,27721747237708,2652042
9,8,27721763548250,2543125
10,9,27721780515416,2554458
11,10,27721797262541,3347875
12,11,27721813682708,2523875
13,12,27721830091708,2459208
14,13,27721846611541,2126625
15,14,27721863216458,1448375
16,15,27721879963625,1696417
17,16,27721896615250,1652084
18,17,27721913410750,2217959
19,18,27721929700666,2083708
20,19,27721946517291,2151208
21,20,27721963353333,1644125
22,21,27721979919333,1787375
23,22,27721996796375,1564209
24,23,27722012559833,777667
25,24,27722029123875,1025792
26,25,27722045753125,964250
27,26,27722062502041,1255833
28,27,27722079136333,1890417
29,28,27722104269083,8694542
30,29,27722121149416,7866916
31,30,27722137815250,8057959
32,31,27722154514500,7939875
33,32,27722171157791,8034500
34,33,27722187875791,8041250
35,34,27722204554416,9003541
36,35,27722213011583,1495125
37,36,27722237996541,8570958
38,37,27722254630166,8029708
39,38,27722271225500,7986959
40,39,27722287879666,7947583
41,40,27722304580791,7968000
42,41,27722321271583,8051792
43,42,27722337933083,7966583
44,43,27722354604916,8167750
45,44,27722371254583,8139917
46,45,27722387991833,8545333
47,46,27722404589458,8106667
48,47,27722421297833,8197500
49,48,27722437958500,8262000
50,49,27722454633833,8343083
51,50,27722471345250,8118500
52,51,27722487999583,7987958
53,52,27722504674541,8223833
54,53,27722521341208,8278250
55,54,27722537631583,8467458
56,55,27722546277625,1589417
57,56,27722562642958,1329208
58,57,27722588064333,8849000
59,58,27722604754250,8195084
60,59,27722621352583,8178917
61,60,27722638101458,8098250
62,61,27722654717291,8282458
63,62,27722671382333,8157208
64,63,27722688083583,8246292
65,64,27722704748541,8375291
66,65,27722721431625,8301167
67,66,27722738088958,8419333
68,67,27722754752708,8286875
69,68,27722763104125,2176292
70,69,27722779429375,1527500
71,70,27722796020791,1774291
72,71,27722812714291,2133833
73,72,27722829431416,1435000
74,73,27722854554541,8922000
75,74,27722871504958,8421583
76,75,27722888113583,8198042
77,76,27722904767833,8143500
78,77,27722921468541,8295666
79,78,27722938157250,8364375
80,79,27722954843416,8401625
81,80,27722971470083,8364250
82,81,27722988177375,8335042
83,82,27723004834208,8115417
84,83,27723021576291,8416041
85,84,27723038207458,8355667
86,85,27723054844875,8414792
87,86,27723071492666,8386666
88,87,27723088214458,8401708
89,88,27723104880375,8127709
90,89,27723121590750,9332084
91,90,27723138267750,8465584
92,91,27723154925708,8428875
93,92,27723171596000,8579459
94,93,27723188284916,8365083
95,94,27723205042833,8350833
96,95,27723221262291,8514208
97,96,27723229792041,2316041
98,97,27723246248166,2174125
99,98,27723271374833,9006500
100,99,27723288284750,8891250
101,100,27723305007416,8562166
102,101,27723321655458,8493958
103,102,27723338339625,8514917
104,103,27723355022166,8604750
105,104,27723371717666,8585333
106,105,27723388348291,8404125
107,106,27723405105583,8447667
108,107,27723421735541,8526416
109,108,27723438374583,9270750
110,109,27723455043875,8786709
111,110,27723471674208,8524208
112,111,27723488228000,8826959
113,112,27723504908208,9042792
114,113,27723521741333,8740208
115,114,27723538419000,8790875
116,115,27723555095791,8757833
117,116,27723571338458,8628292
118,117,27723580056375,2499292
119,118,27723596436208,2131250
120,119,27723613121791,1749333
121,120,27723638562958,8726875
122,121,27723655176416,8935833
123,122,27723671788000,8744917
124,123,27723688468916,8651125
125,124,27723697380500,1751084
126,125,27723721865583,8922125
127,126,27723738407666,8719625
128,127,27723755059916,9082916
129,128,27723763862750,1798292
130,129,27723788678583,8781583
131,130,27723805144083,9215000
132,131,27723821900458,8997667
133,132,27723838538083,8885167
134,133,27723855166708,8974542
135,134,27723871890041,8908041
136,135,27723888580250,8859375
137,136,27723905256791,8858125
138,137,27723913606625,2635084
139,138,27723929885458,2200917
140,139,27723946587000,1819209
141,140,27723963175583,2560333
142,141,27723979910208,1933750
143,142,27723996515125,1906209
144,143,27724013259583,2597000
145,144,27724038698250,8935875
146,145,27724055304250,8795834
147,146,27724071952291,8893166
148,147,27724088632541,8971791
149,148,27724105776125,9306167
150,149,27724121997708,9024250
151,150,27724138532458,9070500
152,151,27724147355458,1932667
153,152,27724172137125,9289584
154,153,27724181056166,1828666
155,154,27724205514666,9420750
156,155,27724213921041,1733583
157,156,27724230293166,950083
158,157,27724246834375,942167
159,158,27724272193750,9319334
160,159,27724288675000,9071834
161,160,27724305404125,9132250
162,161,27724322064083,9076125
163,162,27724338755208,9094833
164,163,27724355414666,9096958
165,164,27724372095250,9025917
166,165,27724388764750,9058875
167,166,27724405000458,8731125
168,167,27724413769625,2675000
169,168,27724430073166,2113291
170,169,27724455502666,9063083
171,170,27724472146333,9070208
172,171,27724488787791,9223625
173,172,27724505462291,9084875
174,173,27724522127583,9208250
175,174,27724538789750,9165125
176,175,27724555528750,9191084
177,176,27724564128750,1525625
178,177,27724580337833,1524833
179,178,27724597073625,1178500
180,179,27724613614208,946875
181,180,27724630204166,2159916
182,181,27724646863958,2154625
183,182,27724663575500,2156584
184,183,27724680259125,2203000
185,184,27724696823041,2095291
186,185,27724722274291,9320000
187,186,27724738908916,9103416
188,187,27724755602916,9110583
189,188,27724772230125,9262709
190,189,27724788891458,9201917
191,190,27724797559791,2236291
192,191,27724822302958,9194625
193,192,27724838890250,9221084
194,193,27724847704416,1584375
195,194,27724863790916,1640083
196,195,27724880405125,1215292
197,196,27724897021666,1071041
198,197,27724913815083,971750
199,198,27724930458291,1192250
200,199,27724947091083,1641250
201,200,27724972390000,9275500
202,201,27724989033291,9321208
203,202,27725005627291,9232916
204,203,27725022374916,9359250
205,204,27725030637666,963750
