elapsedSec,produced,signal,pull,widget
1,16,15,15,46
2,31,30,30,46
3,46,45,45,46
4,61,60,60,46
5,76,75,75,46
6,91,90,90,46
7,106,105,105,46
8,121,120,120,46
9,136,135,135,46
10,151,150,150,47
11,166,165,165,47
12,181,180,180,47
13,196,195,195,48
14,211,210,210,48
15,226,225,225,48
16,241,240,240,48
17,256,255,255,48
18,271,270,270,48
19,286,285,285,48
20,301,300,300,48
21,316,315,315,48
22,331,330,330,48
23,346,345,345,48
24,361,360,360,48
25,376,375,375,48
26,391,390,390,48
27,406,405,405,48
28,421,420,420,48
29,436,435,435,48
30,451,450,450,48
31,466,465,465,48
32,481,480,480,48
33,496,495,495,48
34,511,510,510,48
35,526,525,525,48
36,541,540,540,48
37,556,555,555,48
38,571,570,570,48
39,586,585,585,48
40,601,600,600,48
41,616,615,615,48
42,631,630,630,48
43,646,645,645,48
44,661,660,660,48
45,676,675,675,48
46,691,690,690,48
47,706,705,705,48
48,721,720,720,48
49,736,735,735,48
50,751,750,750,48
51,766,765,765,48
52,781,780,780,48
53,796,795,795,48
54,811,810,810,48
55,826,825,825,48
56,841,840,840,48
57,856,855,855,48
58,871,870,870,48
59,886,885,885,48
60,901,900,900,48
