pullSeqNo,producedFrameNumber,pullAtNs,latencyNs
1,0,27786017221041,4438583
2,1,27786081849375,1672292
3,2,27786148632916,2388541
4,3,27786215209708,2743458
5,4,27786281475666,1767458
6,5,27786348338375,1814959
7,6,27786413690541,1159791
8,7,27786488914000,8093375
9,8,27786555718000,8220292
10,9,27786622377833,8154625
11,10,27786689040375,8449750
12,11,27786755820583,8256292
13,12,27786822488958,9256208
14,13,27786889115833,8474583
15,14,27786955844708,8589292
16,15,27787022533375,8578584
17,16,27787089249416,8622250
18,17,27787155954500,8614834
19,18,27787213835375,1868334
20,19,27787289200250,8387209
21,20,27787347344916,1530916
22,21,27787422599208,8960417
23,22,27787489371041,8735875
24,23,27787556038083,8744958
25,24,27787622811500,8798250
26,25,27787680596125,1702584
27,26,27787756045791,8949250
28,27,27787822836875,8774500
29,28,27787889487583,8839083
30,29,27787956423875,8986625
31,30,27788022944000,8836834
32,31,27788089667833,8986042
33,32,27788156277791,8822333
34,33,27788223033125,8966084
35,34,27788289727958,8980208
36,35,27788356397166,8932416
37,36,27788422953916,8365750
38,37,27788489835666,9037000
39,38,27788547731083,1488208
40,39,27788623108875,8808209
41,40,27788689859958,9093750
42,41,27788756522333,9112458
43,42,27788823216083,9169708
44,43,27788889585958,8990167
45,44,27788956649541,9230583
46,45,27789023341541,9251458
47,46,27789090062750,9330542
48,47,27789156589416,9188250
49,48,27789223421750,9402042
50,49,27789290130958,9453917
51,50,27789347983666,2143375
52,51,27789415092458,1544458
53,52,27789490024333,9173083
54,53,27789556813083,9335917
55,54,27789623559458,9490625
56,55,27789682052708,1305917
57,56,27789748789916,1379875
58,57,27789815097291,2802250
59,58,27789882266458,1478458
60,59,27789948340000,770709
61,60,27790015648625,1477084
62,61,27790082115416,1434458
63,62,27790148987125,1421500
64,63,27790215555375,1945417
65,64,27790282356791,1661458
66,65,27790349218125,1599000
67,66,27790415558416,2018500
68,67,27790481882458,1245042
69,68,27790548947791,1545333
70,69,27790615596958,1549500
71,70,27790682338333,1681833
72,71,27790749055916,1704583
73,72,27790815677208,1615958
74,73,27790882032708,1312625
75,74,27790949081125,1575542
76,75,27791015824625,1641084
77,76,27791082476083,1916792
78,77,27791149171416,1722250
79,78,27791215869125,1745709
80,79,27791282575250,1725042
81,80,27791348802333,2922875
82,81,27791416013958,2332125
83,82,27791482686125,1766917
84,83,27791549395875,1887834
85,84,27791616026208,1818917
86,85,27791682779125,1895459
87,86,27791749475333,1953667
88,87,27791816127833,2013875
89,88,27791882460125,1743667
90,89,27791949554166,1983791
91,90,27792016235250,2082959
92,91,27792082897166,2098833
93,92,27792149232333,1762958
94,93,27792216271875,3303625
95,94,27792283096583,2240750
96,95,27792349744083,2313708
97,96,27792416423291,2703250
98,97,27792483123708,2233833
99,98,27792549800791,3414666
100,99,27792616479166,2354333
101,100,27792682792291,3551291
102,101,27792749813875,2225000
103,102,27792816545375,2348125
104,103,27792883232833,2398250
105,104,27792949920041,2335625
106,105,27793016638583,2387500
107,106,27793083325500,2355417
108,107,27793149651750,3754000
109,108,27793216697875,2969459
110,109,27793283413500,2655375
111,110,27793350205666,2602041
112,111,27793416793500,3252542
113,112,27793483515791,2600458
114,113,27793550189958,2569083
115,114,27793616852416,2684583
116,115,27793683282125,2372000
117,116,27793750309333,2711875
118,117,27793816942541,3040416
119,118,27793883622375,2785417
120,119,27793950359875,2800334
121,120,27794017092000,2926625
122,121,27794083841166,2898708
123,122,27794150112791,3300583
124,123,27794217114083,2829875
125,124,27794283824125,2938000
126,125,27794350470458,2843833
127,126,27794416782000,3203584
128,127,27794483932875,3086125
129,128,27794550218916,2607791
130,129,27794617269375,3056375
131,130,27794683970000,3163000
132,131,27794750648625,3179917
133,132,27794817332625,3029459
134,133,27794884086791,3025666
135,134,27794950764666,3184500
136,135,27795017420250,3166792
137,136,27795083738083,2843083
138,137,27795150830916,3261666
139,138,27795217537458,3296125
140,139,27795284186791,3226208
141,140,27795350885958,3240917
142,141,27795417147166,5127916
143,142,27795484341791,5731583
144,143,27795550602958,4645875
145,144,27795617326875,5341750
146,145,27795684007208,4811000
147,146,27795750626875,5085917
148,147,27795817445458,5103250
149,148,27795884170375,5146250
150,149,27795950884750,4899000
151,150,27796017451083,5828625
152,151,27796084126166,4820125
153,152,27796150735916,5042208
154,153,27796217626250,5634209
155,154,27796284209791,5229750
156,155,27796350951208,5524958
157,156,27796417846666,4646666
158,157,27796484666666,4271333
159,158,27796551317916,3838083
160,159,27796617637791,3758833
161,160,27796684864875,4452834
162,161,27796751257208,5557083
163,162,27796818722500,4756875
164,163,27796885050916,4410291
165,164,27796951746750,4454792
166,165,27797018471708,4342750
167,166,27797085091833,4445958
168,167,27797151766625,4563459
169,168,27797218353250,6211875
170,169,27797284985250,4446417
171,170,27797351846708,6164208
172,171,27797418429625,5505250
173,172,27797484846458,5553708
174,173,27797551543041,6228750
175,174,27797618092500,6954084
176,175,27797684908791,6304500
177,176,27797751557708,6195292
178,177,27797818112291,6181458
179,178,27797886429333,8504125
180,179,27797951824541,5248750
181,180,27798018706000,7197417
182,181,27798085377375,5689459
183,182,27798151620375,7042667
184,183,27798218292208,6924667
185,184,27798285180958,6033708
186,185,27798351811375,6697000
187,186,27798418521541,6708458
188,187,27798485439458,6586417
189,188,27798552033208,5381125
190,189,27798618840875,7280500
191,190,27798685478833,6653208
192,191,27798752325625,6699292
193,192,27798818683583,7011667
194,193,27798885263416,6283666
195,194,27798951920750,7126875
196,195,27799018778416,6014875
197,196,27799085758500,5167209
198,197,27799152429000,5109709
199,198,27799219121708,5826292
200,199,27799285821083,5386292
201,200,27799352512583,5183208
202,201,27799419184083,5871333
203,202,27799485845375,5270584
204,203,27799552326541,6517250
205,204,27799619009875,5252167
206,205,27799686107083,5400792
207,206,27799752686125,5348125
208,207,27799819279875,5486792
209,208,27799886135375,5325167
210,209,27799952752375,5189917
211,210,27800019447000,5204959
212,211,27800086141708,5439958
213,212,27800152820333,5925875
214,213,27800219557833,5935333
215,214,27800286294916,5978458
216,215,27800352917500,5953625
217,216,27800419644916,6330250
218,217,27800486287250,5943167
219,218,27800552638375,7052000
220,219,27800619701208,7313125
221,220,27800686395291,5859208
222,221,27800753137666,6010125
223,222,27800819854541,6026916
224,223,27800886509958,6077667
225,224,27800953251750,6069750
226,225,27801019502916,7131416
227,226,27801086548791,7403333
228,227,27801153240916,5989583
229,228,27801219969958,5889167
230,229,27801286272000,7145667
231,230,27801353229458,5805500
232,231,27801420000708,6252500
233,232,27801486515083,7188417
234,233,27801553394000,6429875
235,234,27801620097375,6390125
236,235,27801686821791,6465375
237,236,27801753490333,6328750
238,237,27801820157458,6339208
239,238,27801886893291,6253291
240,239,27801953580041,6412208
241,240,27802020278416,6402541
242,241,27802086912291,6335000
243,242,27802153312166,7417875
244,243,27802220369875,7646375
245,244,27802287129833,6446167
246,245,27802353466291,7628791
247,246,27802420439708,6597792
248,247,27802487132166,6429041
249,248,27802553442291,7646791
250,249,27802620505833,6422083
251,250,27802687208333,6384917
252,251,27802753875666,6469083
253,252,27802820627791,7415875
254,253,27802887283000,6541792
255,254,27802953619416,7433916
256,255,27803020694291,6625875
257,256,27803087379375,6645042
258,257,27803154072291,6663666
259,258,27803220760416,6630458
260,259,27803287568250,6662500
261,260,27803353963875,6579500
262,261,27803420491000,7538500
263,262,27803487504291,6764750
264,263,27803554236041,6866791
265,264,27803620899250,6838084
266,265,27803687618958,6913292
267,266,27803754318916,6928208
268,267,27803820978750,6968459
269,268,27803887736500,6967542
270,269,27803954023083,7639917
271,270,27804021122750,6976042
272,271,27804087811250,7202584
273,272,27804154523125,7191125
274,273,27804221155458,7157292
275,274,27804287980166,7326166
276,275,27804354196541,7242333
277,276,27804421259541,7567500
278,277,27804487947875,7198375
279,278,27804554599791,7037041
280,279,27804621258916,7229208
281,280,27804688015791,7297000
282,281,27804754724250,7339375
283,282,27804821400208,7339250
284,283,27804888103208,7453125
285,284,27804954432000,7820917
286,285,27805021484916,7501125
287,286,27805088210875,7460584
288,287,27805154927416,7392333
289,288,27805221596291,8448166
290,289,27805288332875,7524959
291,290,27805354577250,7965084
292,291,27805421240125,7883667
293,292,27805488344708,7637208
294,293,27805555227250,7650875
295,294,27805621752166,7604291
296,295,27805688427208,7721250
297,296,27805755129708,7791417
298,297,27805821833416,7829375
299,298,27805888569000,7857500
300,299,27805954835416,8016250
301,300,27806021924916,7749250
302,301,27806088560291,7839500
303,302,27806155271583,7963417
304,303,27806221989125,7979167
305,304,27806288666916,7924000
306,305,27806355383875,8079209
307,306,27806422030791,8441875
308,307,27806488394000,8384334
309,308,27806555416625,8049917
310,309,27806622135125,8023000
311,310,27806688838750,8256084
312,311,27806755530416,8137833
313,312,27806822254958,8254292
314,313,27806888920791,8253125
315,314,27806946792291,893333
316,315,27807022208083,8595708
317,316,27807088967583,8276333
318,317,27807155704291,8357708
319,318,27807214114458,1633458
320,319,27807288986333,8245542
321,320,27807355792583,8505500
322,321,27807422484166,8951291
323,322,27807489168833,8427042
324,323,27807555861000,8486584
325,324,27807622165500,8588250
326,325,27807689537083,8836375
327,326,27807755954333,8695042
328,327,27807822654833,8659458
329,328,27807889301958,8696750
330,329,27807956006458,8611875
331,330,27808022761041,8689833
332,331,27808089023875,8719750
333,332,27808156123916,8668708
334,333,27808222831500,9153250
335,334,27808289489708,8761542
336,335,27808356194875,8693584
337,336,27808422621458,8481875
338,337,27808480821625,1655959
339,338,27808556254666,9262416
340,339,27808622900500,8899042
341,340,27808689649791,8917583
342,341,27808756376625,9033417
343,342,27808823013750,8935167
344,343,27808889776083,9029250
345,344,27808956472541,9071750
346,345,27809022766375,8917250
347,346,27809089837916,9066208
348,347,27809156540250,9237917
349,348,27809223234125,9056917
350,349,27809289921125,9243417
351,350,27809356202958,8910583
352,351,27809414953666,1416875
353,352,27809489895583,9069375
354,353,27809556647041,9293958
355,354,27809623419375,9295792
356,355,27809690103291,9492750
357,356,27809756745041,9425583
358,357,27809823454666,9498041
359,358,27809890155375,9485584
360,359,27809956803125,9452625
361,360,27810014729291,686625
362,361,27810090138750,9302875
363,362,27810148794666,1436083
364,363,27810215500166,1493166
365,364,27810282186041,1452833
366,365,27810348919166,1521375
367,366,27810414882500,1166667
368,367,27810482262958,1474833
369,368,27810548916208,1398208
370,369,27810615432333,1472083
371,370,27810682094000,1448834
372,371,27810748467083,1060417
373,372,27810815572875,1537417
374,373,27810882206750,1522500
375,374,27810948861916,1765791
376,375,27811015588875,1590042
377,376,27811082351625,2158334
378,377,27811148992416,1680000
379,378,27811215679500,2104125
380,379,27811281983291,1285833
381,380,27811348986958,1507208
382,381,27811415781916,2210541
383,382,27811482470208,1718708
384,383,27811549164875,3038875
385,384,27811615932458,1782667
386,385,27811682533333,2566542
387,386,27811749235375,1739584
388,387,27811815487125,1754625
389,388,27811882649708,1828667
390,389,27811949319458,1739917
391,390,27812016001958,1850875
392,391,27812082658708,1841083
393,392,27812149390291,1854625
394,393,27812215750166,3114041
395,394,27812282717708,1996292
396,395,27812349052000,1631917
397,396,27812416145458,2477792
398,397,27812482873208,2131000
399,398,27812549566750,2096167
400,399,27812616265250,2222167
401,400,27812682915875,2160250
402,401,27812749271291,1899250
403,402,27812816376666,2259208
404,403,27812883065458,2304042
405,404,27812949779500,2202000
406,405,27813016426375,2231375
407,406,27813083099916,2279250
408,407,27813149803583,2357667
409,408,27813216151583,2004125
410,409,27813283202958,2200667
411,410,27813349891541,2378041
412,411,27813416511208,2880958
413,412,27813483301208,2397792
414,413,27813550008333,2567417
415,414,27813616676166,2620625
416,415,27813683277541,2433625
417,416,27813750055083,3217250
418,417,27813816396166,3006708
419,418,27813883454083,2703333
420,419,27813950180666,2713625
421,420,27814016835166,2653500
422,421,27814083591500,2818750
423,422,27814150180291,2682708
424,423,27814216923291,3278291
425,424,27814283258708,2451333
426,425,27814350350458,2880208
427,426,27814416971375,5431417
428,427,27814483679583,2900500
429,428,27814550428541,2941791
430,429,27814617086958,2905917
431,430,27814683764125,2969750
432,431,27814750103083,4194042
433,432,27814817130625,2822750
434,433,27814883886083,3090042
435,434,27814950604833,3058625
436,435,27815017220708,3038625
437,436,27815083997291,3151625
438,437,27815150635041,3800583
439,438,27815217279666,3083791
440,439,27815284027958,3215708
441,440,27815350302833,2842583
442,441,27815417460250,3772667
443,442,27815484111875,3111250
444,443,27815550772500,3335875
445,444,27815617465833,3333000
446,445,27815684143291,3393333
447,446,27815750849291,3314791
448,447,27815817111916,4632333
449,448,27815884246500,3458000
450,449,27815950954791,3434583
451,450,27816017662125,3399125
452,451,27816084348250,3618834
453,452,27816151036208,3566208
454,453,27816217713166,3473291
455,454,27816284032875,4810167
456,455,27816351147208,3542333
457,456,27816417843208,4175250
458,457,27816484557958,3590625
459,458,27816551085541,3894625
460,459,27816617911583,3706583
461,460,27816684229708,5052625
462,461,27816751244458,3663417
463,462,27816818023083,3898292
464,463,27816884685458,4086833
465,464,27816951360791,3812791
466,465,27817018044000,3804417
467,466,27817084363125,5249959
468,467,27817151477416,3928041
469,468,27817218128416,6124166
